top - 22:54:16 up  2:47,  1 user,  load average: 2.07, 1.25, 1.02
Tasks: 336 total,   2 running, 333 sleeping,   0 stopped,   1 zombie
%Cpu(s): 10.5 us, 15.8 sy,  0.0 ni, 68.4 id,  5.3 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3867.9 total,    516.3 free,   2422.0 used,    728.1 buff/cache     
MiB Swap:   3714.0 total,   2245.9 free,   1468.1 used.   1445.8 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   6254 root      20   0   19664   1020   1004 S   0.0   0.0   0:00.00 sudo
   6255 root      20   0   11264   4060   3652 S   0.0   0.1   0:00.21 bash
   6334 gv237     20   0 2776704 200644  85136 S   0.0   5.1   0:34.48 Isolate+
   7557 gv237     20   0 2555420  99120  80772 S   0.0   2.5   0:02.84 Isolate+
   7584 gv237     20   0 2637596  99564  81468 S   0.0   2.5   0:05.65 Isolate+
   7606 gv237     20   0 3448560 410188  89864 S   0.0  10.4   1:44.86 Isolate+
   7634 root      20   0       0      0      0 I   0.0   0.0   0:01.96 kworker+
   7690 root      20   0       0      0      0 I   0.0   0.0   0:00.77 kworker+
   8315 gv237     20   0 2427752  69144  61516 S   0.0   1.7   0:00.64 Isolate+
   8321 gv237     20   0 2433908  77340  69464 S   0.0   2.0   0:00.88 Isolate+
   8372 gv237     20   0 3417624 559408  91996 S   0.0  14.1   2:11.20 Isolate+
   8468 gv237     20   0 2752720 165680  86768 S   0.0   4.2   0:11.26 Isolate+
   8557 root       0 -20       0      0      0 I   0.0   0.0   0:01.39 kworker+
   8689 root      20   0       0      0      0 I   0.0   0.0   0:00.44 kworker+
   8733 root      20   0       0      0      0 I   0.0   0.0   0:04.21 kworker+
   8759 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   8772 root      20   0       0      0      0 I   0.0   0.0   0:01.50 kworker+
   8821 root      20   0       0      0      0 I   0.0   0.0   0:03.84 kworker+
   8878 root      20   0       0      0      0 I   0.0   0.0   0:01.38 kworker+
   9153 gv237     20   0 3146280  33836  27060 S   0.0   0.9   0:00.75 gjs
   9253 gv237     20   0   11272   3276   3148 S   0.0   0.1   0:00.00 bash
   9377 root      20   0   38404   9200   8736 S   0.0   0.2   0:00.03 cupsd
   9383 cups-br+  20   0  268500  11788  11648 S   0.0   0.3   0:00.05 cups-br+
